identifier,name,url,author,description,datePublished,source_name,source_identifier,source_url
https://open.umn.edu/opentextbooks/textbooks/introduction-to-criminology,Introduction to Criminology,https://open.umn.edu/opentextbooks/textbooks/introduction-to-criminology,Shereen Hassan; Dan Lett; Leah Ballantyne,"Although this open education resource (OER) is written with the needs and abilities of first-year undergraduate criminology students in mind, it is designed to be flexible. As a whole, the OER is amply broad to serve as the main textbook for an introductory course, yet each chapter is deep enough to be useful as a supplement for subject-area courses; authors use plain and accessible language as much as possible, but introduce more advanced, technical concepts where appropriate; the text gives due attention to the historical “canon” of mainstream criminological thought, but it also challenges many of these ideas by exploring alternative, critical, and marginalized perspectives. After all, criminology is more than just the study of crime and criminal law; it is an examination of the ways human societies construct, contest, and defend ideas about right and wrong, the meaning of justice, the purpose and power of laws, and the practical methods of responding to broken rules and of mending relationships. Special thanks to Leah Ballantyne, LLB LLM, a Cree lawyer from the Mathias Colomb Cree Nation in Pukatawagan, Manitoba, who provided expert Indigenous consultation/editing for this textbook.",,OERSI,aHR0cHM6Ly9vcGVuLnVtbi5lZHUvb3BlbnRleHRib29rcy90ZXh0Ym9va3MvaW50cm9kdWN0aW9uLXRvLWNyaW1pbm9sb2d5,https://oersi.org/resources/aHR0cHM6Ly9vcGVuLnVtbi5lZHUvb3BlbnRleHRib29rcy90ZXh0Ym9va3MvaW50cm9kdWN0aW9uLXRvLWNyaW1pbm9sb2d5
10.48366/R609288,A Catalog of the Wizard LLM series,https://doi.org/10.48366/R609288,Jennifer D’Souza,"WizardLM is a LLM based on LLaMA trained using a new method, called Evol-Instruct, on complex instruction data. By using AI to ""evolve"" instructions, WizardLM outperforms similar LLaMA-based LLMs trained on simpler instruction data. On the 6th of July, 2023, WizardLM V1.1 was released with significantly improved performance. This comparison juxtaposes all Wizard LLM variants based on their salient properties",2023-01-01,RESODATE,aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I2MDkyODg=,https://resodate.org/resources/aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I2MDkyODg=
10.48366/R597838,A Comparison on Foundation Large Language Models,https://doi.org/10.48366/R597838,Sanju Tiwari,"This comparison analyzes how the current advances in foundational
LLM, like GPT-3,  REBEL, PaLM, BLOOM, OPT are compared with its different parameter.",2023-01-01,RESODATE,aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I1OTc4Mzg=,https://resodate.org/resources/aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I1OTc4Mzg=
10.48366/R598090,A Comparison on Foundation Large Language Models,https://doi.org/10.48366/R598090,Sanju Tiwari,"This comparison analyzes how the current advances in foundational
LLM, like GPT-3,  REBEL, PaLM, BLOOM, OPT are compared with its different parameter.",2023-01-01,RESODATE,aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I1OTgwOTA=,https://resodate.org/resources/aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I1OTgwOTA=
10.48366/R599914,Comparison of KG-enhanced LLM methods for the pre-training of KG-enhanced LLM ,https://doi.org/10.48366/R599914,Dr. Sanju Tiwari,"This comparison has summarized 17 KG-enhanced large scale pre-trained language models for the pre-training of KG-enhanced LLM. This comparison have modeled with 10 different properties and explored the datasets, experiments, methodologies code source for 17 Large language Models.",2023-01-01,RESODATE,aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I1OTk5MTQ=,https://resodate.org/resources/aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I1OTk5MTQ=
10.48366/R604602,Exploring Large Language Models augmented Knowledge Graph Completion Methods,https://doi.org/10.48366/R604602,Dr. Sanju Tiwari,Knowledge Graph Completion (KGC) infers missing facts in a given knowledge graph. Integration of large language models enables Knowledge Graph Completion methods to generate facts or encode the text for improving the performance. This comparison compares different LLM-augmented Knowledge Graph Completion methods.,2023-01-01,RESODATE,aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I2MDQ2MDI=,https://resodate.org/resources/aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I2MDQ2MDI=
10.48366/R601697,Exploring Interpretability of Knowledge Graph-enhanced Large Language Models ,https://doi.org/10.48366/R601697,Dr. Sanju Tiwari,The large language model (LLM) interpretability indicates to the explanation and understanding of the internal workings and decision-making tasks of a large language model. Knowledge Graphs are utilizing to improve the interpretability of Large Language Models. This comparisons explores 10 models to check different parameters.,2023-01-01,RESODATE,aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I2MDE2OTc=,https://resodate.org/resources/aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I2MDE2OTc=
http://dx.doi.org/10.14279/depositonce-15957,Simplified vortex methods to model wake vortex roll-up in real-time simulations for fuel-saving formation flight,http://dx.doi.org/10.14279/depositonce-15957,Henrik Spark; Robert Luckner,"One possibility for reducing fuel consumption is to fly in the upwind field of the wake vortex generated by an aircraft that is flying ahead. Migratory birds use this principle. Manually flying an aircraft at the point of optimal fuel reduction is not suited for routine flight operations as the pilot workload is excessively high. Hence, an autopilot function has to carry out this task. For designing the autopilot, a flight mechanical simulation with a wake vortex velocity model is required that has the ability to calculate the vortex-induced velocity fields. This paper contributes to the choice of a real-time simulation method for modelling vortex-induced velocities that the wake vortex of a leading aircraft generates and that the trailing aircraft shall use during fuel-saving formation flight.Two different wake vortex velocity models are introduced and compared during steady, horizontal flight. One model is based on the Lifting Line Method (LLM) and the other on the unsteady Vortex Lattice Method (VLM). Both models are able to calculate the wake vortex roll-up phase for arbitrary lift distributions, whereas the commonly used Single Horseshoe Vortex Model (SHVM) ignores the near-field roll up. The differences in the induced upwind distribution and vortex filament position are analysed for coarse spatial and temporal discretisation that the real-time constraint requires. Despite the more stringent simplifications of LLM, both methods yield similar filament positions and similar velocity fields for the same discretisation of the lifting surfaces. Finally, the influence of the discretisation parameters is discussed and parameter values are recommended for using VLM and LLM in real-time flight simulations.",2022-09-06T12:54:00Z,RESODATE,aHR0cDovL2R4LmRvaS5vcmcvMTAuMTQyNzkvZGVwb3NpdG9uY2UtMTU5NTc=,https://resodate.org/resources/aHR0cDovL2R4LmRvaS5vcmcvMTAuMTQyNzkvZGVwb3NpdG9uY2UtMTU5NTc=
10.48366/R605910,Large Language Model-based Knowledge Graph construction methods comparison,https://doi.org/10.48366/R605910,Dr. Sanju Tiwari,"Knowledge graph construction provides a structured representation of knowledge within a specific domain. It helps to detect entities along with their relationships with each other. There are three major phases in knowledge graphs construction:  1) entity discovery, 2) coreference resolution, and 3) relation extraction. LLMs are playing an important role in all these phases. This comparison will explore the LLM-based knowledge graph construction methods.",2023-01-01,RESODATE,aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I2MDU5MTA=,https://resodate.org/resources/aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I2MDU5MTA=
10.48366/R609546,A Review of Transformer Models,https://doi.org/10.48366/R609546,Jennifer D'Souza; Jennifer D'Souza; Jennifer D'Souza; Jennifer D'Souza; Jennifer D'Souza; Jennifer D'Souza; Jennifer D'Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza,"The following is a review article https://orkg.org/review/R609355 surveying Large Language Models published on the Open Research Knowledge Graph (ORKG) platform. The ORKG leverages the next-generation semantic publishing tools and applied them on scholarly communication. In particular, it stores machine-actionable structured contributions in its knowledge graph. As such this review is a first of its kind representing salient characteristics of LLMs (their main contributions) in a structured and semantic way on the ORKG. The article might be particularly insightful in that it combines several structured LLM descriptions via comparisons filtered as sections based on various organizations involved such as the LLaMA series from Meta, the Pythia series from EleutherAI, DeepMind's Chinchilla and other models, OpenLLaMA from Berkeley AI Research, the Wizard series from Microsoft, etc. It concludes with a large-scale comparison of 87 different LLMs including the recent JAIS for the Arabic language.",2023-01-01,RESODATE,aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I2MDk1NDY=,https://resodate.org/resources/aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I2MDk1NDY=
