Cluster ID,confidence_score,identifier,name,url,author,description,datePublished,source_name,source_identifier,source_url
4,1.0,10.1117/12.612872,<title>Formal tests for LLM approaches using refined cockpit display technology</title>,https://openalex.org/W1993697266,Randall C. Davis; Dennis W. Wilt; James Henion; Keith Alter; Paul Snow; John E. Deaton,"Results are presented from formal flight and simulation experiments to test a new primary display (PFD)/refined multifunction (MFD) system, with computer generated dynamic pathway, as viable means for pilot accurately efficiently control navigate an aircraft. For control, the PFD uses highway-in-the-sky (HITS) pathway synthetic vision terrain image of view outside aircraft, overlay all essential technical data. navigation, MFD provides moving map aid pilot. The total PFD/MFD system predictive method flying opposed reactive associated conventional needle dial instruments. Fifteen low-to-average-experience subject pilots were selected compare instrumentation system. A non-precision global positioning (GPS) area navigation (RNAV) approach runway 20 at Wakefield Municipal Airport, VA, (AKQ) was used. hypothesis that intuitive nature will provide greater situational awareness, improved accuracy, less workload during in instrument meteorological conditions (IMC) compared using round instrumentation.",25-05-05,OPENALEX,W1993697266,https://openalex.org/W1993697266
5,1.0,,A Case Study using Large Language Models to Generate Metadata for Math Questions.,https://dblp.org/rec/conf/aied/BainbridgeWIZMW23,Katie Bainbridge; Candace A. Walkington; Armon Ibrahim; Iris Zhong; Debshila Basu Mallick; Julianna Washington; Richard G. Baraniuk,,2023,DBLP,167534,https://dblp.org/rec/conf/aied/BainbridgeWIZMW23
6,1.0,10.48366/R609288,A Catalog of the Wizard LLM series,https://doi.org/10.48366/R609288,Jennifer D’Souza,"WizardLM is a LLM based on LLaMA trained using a new method, called Evol-Instruct, on complex instruction data. By using AI to ""evolve"" instructions, WizardLM outperforms similar LLaMA-based LLMs trained on simpler instruction data. On the 6th of July, 2023, WizardLM V1.1 was released with significantly improved performance. This comparison juxtaposes all Wizard LLM variants based on their salient properties",01-01-23,RESODATE,aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I2MDkyODg=,https://resodate.org/resources/aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I2MDkyODg=
7,1.0,10.48366/R597838,A Comparison on Foundation Large Language Models,https://doi.org/10.48366/R597838,Sanju Tiwari,"This comparison analyzes how the current advances in foundational
LLM, like GPT-3,  REBEL, PaLM, BLOOM, OPT are compared with its different parameter.",01-01-23,RESODATE,aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I1OTc4Mzg=,https://resodate.org/resources/aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I1OTc4Mzg=
8,1.0,10.48366/R598090,A Comparison on Foundation Large Language Models,https://doi.org/10.48366/R598090,Sanju Tiwari,"This comparison analyzes how the current advances in foundational
LLM, like GPT-3,  REBEL, PaLM, BLOOM, OPT are compared with its different parameter.",01-01-23,RESODATE,aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I1OTgwOTA=,https://resodate.org/resources/aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I1OTgwOTA=
9,1.0,10.1109/TCPMT.2022.3167651,A Computational Strategy for Code- and Mesh-Agnostic Nonlinear Global–Local Analysis,https://ieeexplore.ieee.org/document/9757156/,Yaxiong Chen; Sai Sanjit Ganti; Ganesh Subbarayan,"Global, coarse mesh and local, refined mesh modeling strategy is a common solution approach for domains spanning many orders in length scale. In this article, a nonintrusive computational strategy for iterative solution to the nonlinear behavior in the subdomains is proposed. To estimate the residual force on the interface connecting the subdomains with nonmatching discretizations, variational principles with an intermediate framework are proposed to assure satisfaction of virtual work principle in the subdomains and to assure displacement/traction compatibility at the interface. To map nodal force from one subdomain to the other, both global Lagrange multiplier (GLM) and local Lagrange multiplier (LLM) methods are discussed. Quasi-Newton iterative updates are used to correct displacements on the interface connecting the different subdomains until equilibrium is reached. A symmetric rank 1 update as well as the Broyden–Fletcher–Goldfarb–Shanno (BFGS) update are considered for accelerating the solution convergence. The developed method is suitable for the modular construction of submodels with nonmatching discretizations and even allows coupling between subdomains analyzed using different (commercial or custom) codes. The iterative global–local coupling strategy is validated on several examples, including an L-shaped domain with local nonlinearity and a rectangular plate with a propagating crack. Another example illustrating the coupling of domains independently analyzed using commercial finite element codes ANSYS and ABAQUS is next demonstrated. Finally, the method is demonstrated to analyze semiconductor chip assemblies where plastic ratcheting of the interconnect line causes passivation coating fracture.",14-04-22,IEEE,9757156,https://ieeexplore.ieee.org/document/9757156/
10,1.0,10.1109/TGRS.2023.3321752,A Decoupling Paradigm With Prompt Learning for Remote Sensing Image Change Captioning,https://ieeexplore.ieee.org/document/10271701/,Chenyang Liu; Rui Zhao; Jianqi Chen; Zipeng Qi; Zhengxia Zou; Zhenwei Shi,"Remote sensing image change captioning (RSICC) is a novel task that aims to describe the differences between bitemporal images by natural language. Previous methods ignore a significant specificity of the task: the difficulty of RSICC is different for unchanged and changed image pairs. They process the unchanged and changed image pairs in a coupled way, which usually causes confusion for change captioning. In this article, we decouple the task into two issues to ease it: whether and what changes have occurred. An image-level classifier performs binary classification to address the first issue. A feature-level encoder contributes to extracting discriminative features to help the caption generation module address the second issue. Besides, for caption generation, we utilize prompt learning to introduce pretrained large language models (LLMs) into the RSICC task. A multiprompt learning strategy is proposed to generate a set of unified prompts and a class-specific prompt conditioned on the image-level classifier’s results. The strategy can prompt a pretrained LLM to know whether changes exist and generate captions. Finally, the multiple prompts and the visual features of the feature-level encoder are fed into a frozen LLM for language generation. Compared with previous methods, our method can leverage the powerful abilities of the pretrained LLM in language to generate plausible captions, which is free of training. Extensive experiments show that our method is effective and achieves the state-of-the-art performance. Besides, an additional experiment demonstrates that our decoupling paradigm is more promising than the previous coupled paradigm for the RSICC task. We will make our codebase publicly available to facilitate future research at https://github.com/Chen-Yang-Liu/PromptCC.",04-10-23,IEEE,10271701,https://ieeexplore.ieee.org/document/10271701/
11,1.0,10.1109/ITOEC57671.2023.10291525,A LLM-Based Simulation Scenario Aided Generation Method,https://ieeexplore.ieee.org/document/10291525/,Junfeng Zhang; Yang Zhang; Minnan Chu; Shun Yang; Taolei Zu,"In the simulation training system, the generation of simulation scenarios is a basic problem that needs to be studied. Firstly, expounds on the technical characteristics of LLM and knowledge graph; then structurally describe the simulation scenario related content, and build scenario knowledge graph; according to the characteristics of scenario aided generation, a simulation scenario generation method based on LLM is proposed, which uses prompt to fuse knowledge graph and LLM, next, the implementation steps of this method were elaborated; finally, the specific application proves that the method proposed in this paper is a good reference for the generation of simulation scenarios.",30-10-23,IEEE,10291525,https://ieeexplore.ieee.org/document/10291525/
0,0.81118107,10.1039/d0cp02159h,"A mechanism for two-step thermal decomposition of 2,6-diamino-3,5-dinitropyrazine-1-oxide (LLM-105)",https://openalex.org/W3029856680,Yu Qian; Chuande Zhao; Longyu Liao; Hongzhen Li; Heliang Sui; Ying Yin; Jinshan Li,The thermal decomposition mechanism of the consecutive reactions LLM-105 was investigated based on gaseous products and solid reactants.,01-01-20,OPENALEX,W3029856680,https://openalex.org/W3029856680
0,0.81118107,10.1039/d0cp02159h,"A mechanism for two-step thermal decomposition of 2,6-diamino-3,5-dinitropyrazine-1-oxide (LLM-105)",https://doi.org/10.1039/d0cp02159h,Ying Yin; Hongzhen Li; Qian Yu; Longyu Liao; Jinshan Li; Heliang Sui; Chuande Zhao,"2,6-Diamino-3,5-dinitropyrazine-1-oxide (LLM-105) is a representative of the new generation of low-sensitivity energetic materials and has been applied extensively in formulations as an insensitive high-energetic ingredient. Although the initial thermal decomposition mechanism of LLM-105 has been studied based on quantum chemical calculations, the internal mechanism of the two-step thermal decomposition still lacks experimental research. Thus, this study involves a detailed experimental study to reveal the mechanism of the two-step thermal decomposition of LLM-105. The results showed that LLM-105 decay was a consecutive reaction. The first-step reaction dominated the early stage of the LLM-105 decomposition, and its products participated in the reaction of the second step. The cleavage of NO2 and NH2 groups of LLM-105 mainly occurred in the first step, while gaseous products NO and C2N2 were released during the second reaction step. The first-step reaction had a higher oxygen consumption rate and a lower carbon consumption rate, producing more heat due to more extensive oxidation of the carbon backbone. The difference in the oxidative ability and reaction rate between the two steps resulted in a two-step exothermic and mass loss behavior. This study provides further insights into the entire reaction process of LLM-105 and would be helpful for its better application and for the design of new explosives.",01-01-20,Openaire Products,doi_dedup___::a4e3ca635e6a69058303d9f593edfc17,https://doi.org/10.1039/d0cp02159h
